683,S,W,H,0,32,9,0
686,S,W,H,15,32,9,0
687,S,W,H,14,32,9,0
689,S,W,H,13,32,9,0
691,S,W,H,12,32,9,0
695,S,W,H,11,32,9,0
697,S,W,H,10,32,9,0
700,S,W,H,7,32,9,0
704,S,W,H,8,32,9,0
707,S,W,H,9,32,9,0
687,S,W,H,0,33,9,0
689,S,W,H,0,33,9,0
691,S,W,H,18,33,9,0
694,S,W,H,17,33,9,0
698,S,W,H,0,33,9,0
701,S,W,H,15,33,9,0
702,S,W,H,14,33,9,0
704,S,W,H,13,33,9,0
706,S,W,H,12,33,9,0
710,S,W,H,11,33,9,0
712,S,W,H,10,33,9,0
715,S,W,H,7,33,9,0
719,S,W,H,8,33,9,0
722,S,W,H,9,33,9,0
702,S,W,H,0,34,9,0
704,S,W,H,0,34,9,0
706,S,W,H,18,34,9,0
709,S,W,H,17,34,9,0
713,S,W,H,0,34,9,0
716,S,W,H,15,34,9,0
717,S,W,H,14,34,9,0
719,S,W,H,13,34,9,0
721,S,W,H,12,34,9,0
725,S,W,H,11,34,9,0
727,S,W,H,10,34,9,0
730,S,W,H,7,34,9,0
734,S,W,H,8,34,9,0
737,S,W,H,9,34,9,0
717,S,W,H,0,35,9,0
719,S,W,H,0,35,9,0
721,S,W,H,18,35,9,0
724,S,W,H,17,35,9,0
728,S,W,H,0,35,9,0
731,S,W,H,15,35,9,0
732,S,W,H,14,35,9,0
734,S,W,H,13,35,9,0
736,S,W,H,12,35,9,0
740,S,W,H,11,35,9,0
742,S,W,H,10,35,9,0
745,S,W,H,7,35,9,0
749,S,W,H,8,35,9,0
753,S,W,H,9,35,9,0
732,S,W,H,0,36,9,0
734,S,W,H,0,36,9,0
736,S,W,H,18,36,9,0
739,S,W,H,17,36,9,0
743,S,W,H,0,36,9,0
746,S,W,H,15,36,9,0
747,S,W,H,14,36,9,0
749,S,W,H,13,36,9,0
751,S,W,H,12,36,9,0
755,S,W,H,11,36,9,0
757,S,W,H,10,36,9,0
760,S,W,H,7,36,9,0
764,S,W,H,8,36,9,0
768,S,W,H,9,36,9,0
747,S,W,H,0,37,9,0
749,S,W,H,0,37,9,0
751,S,W,H,18,37,9,0
754,S,W,H,17,37,9,0
758,S,W,H,0,37,9,0
761,S,W,H,15,37,9,0
762,S,W,H,14,37,9,0
764,S,W,H,13,37,9,0
766,S,W,H,12,37,9,0
770,S,W,H,11,37,9,0
772,S,W,H,10,37,9,0
775,S,W,H,7,37,9,0
779,S,W,H,8,37,9,0
783,S,W,H,9,37,9,0
762,S,W,H,0,38,9,0
764,S,W,H,0,38,9,0
766,S,W,H,18,38,9,0
769,S,W,H,17,38,9,0
773,S,W,H,0,38,9,0
776,S,W,H,15,38,9,0
777,S,W,H,14,38,9,0
779,S,W,H,13,38,9,0
781,S,W,H,12,38,9,0
785,S,W,H,11,38,9,0
787,S,W,H,10,38,9,0
790,S,W,H,7,38,9,0
794,S,W,H,8,38,9,0
798,S,W,H,9,38,9,0
777,S,W,H,0,39,9,0
779,S,W,H,0,39,9,0
781,S,W,H,18,39,9,0
784,S,W,H,17,39,9,0
788,S,W,H,0,39,9,0
791,S,W,H,15,39,9,0
792,S,W,H,14,39,9,0
794,S,W,H,13,39,9,0
796,S,W,H,12,39,9,0
800,S,W,H,11,39,9,0
802,S,W,H,10,39,9,0
805,S,W,H,7,39,9,0
809,S,W,H,8,39,9,0
813,S,W,H,9,39,9,0
792,S,W,H,0,40,9,0
794,S,W,H,0,40,9,0
796,S,W,H,18,40,9,0
799,S,W,H,17,40,9,0
803,S,W,H,0,40,9,0
806,S,W,H,15,40,9,0
807,S,W,H,14,40,9,0
809,S,W,H,13,40,9,0
811,S,W,H,12,40,9,0
815,S,W,H,11,40,9,0
817,S,W,H,10,40,9,0
820,S,W,H,7,40,9,0
824,S,W,H,8,40,9,0
828,S,W,H,9,40,9,0
807,S,W,H,0,41,9,0
809,S,W,H,0,41,9,0
811,S,W,H,18,41,9,0
814,S,W,H,17,41,9,0
818,S,W,H,0,41,9,0
821,S,W,H,15,41,9,0
822,S,W,H,14,41,9,0
824,S,W,H,13,41,9,0
826,S,W,H,12,41,9,0
830,S,W,H,11,41,9,0
832,S,W,H,10,41,9,0
835,S,W,H,7,41,9,0
839,S,W,H,8,41,9,0
843,S,W,H,9,41,9,0
822,S,W,H,0,42,9,0
824,S,W,H,0,42,9,0
826,S,W,H,18,42,9,0
829,S,W,H,17,42,9,0
833,S,W,H,0,42,9,0
836,S,W,H,15,42,9,0
837,S,W,H,14,42,9,0
839,S,W,H,13,42,9,0
841,S,W,H,12,42,9,0
845,S,W,H,11,42,9,0
847,S,W,H,10,42,9,0
850,S,W,H,7,42,9,0
854,S,W,H,8,42,9,0
858,S,W,H,9,42,9,0
837,S,W,H,0,43,9,0
839,S,W,H,0,43,9,0
841,S,W,H,18,43,9,0
844,S,W,H,17,43,9,0
848,S,W,H,0,43,9,0
851,S,W,H,15,43,9,0
855,S,W,H,14,43,9,0
857,S,W,H,13,43,9,0
859,S,W,H,12,43,9,0
862,S,W,H,11,43,9,0
865,S,W,H,10,43,9,0
868,S,W,H,7,43,9,0
872,S,W,H,8,43,9,0
875,S,W,H,9,43,9,0
852,S,W,H,0,44,9,0
