route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101E,MT,8693040,E-Line Lincoln,1, 101 65,793379
101E,SA,8693041,E-Line Union Station,0, 101 37,793350
101E,SA,8693047,E-Line Union Station,0, 101 32,793350
101E,SA,8693050,E-Line Union Station,0, 101 37,793350
101E,SA,8693053,E-Line Union Station,0, 101 31,793350
101E,SA,8693056,E-Line Union Station,0, 101 35,793350
101E,SA,8693062,E-Line Union Station,0, 101 32,793350
101E,SA,8693065,E-Line Union Station,0, 101 37,793350
101E,SA,8693068,E-Line Union Station,0, 101 31,793350
101E,SA,8693071,E-Line Union Station,0, 101 35,793350
101E,SA,8693074,E-Line Union Station,0, 101 34,793350
101E,SA,8693077,E-Line Union Station,0, 101 33,793350
101E,SA,8693081,E-Line Union Station,0, 101 32,793350
101E,SA,8693086,E-Line Union Station,0, 101 31,793350
101E,SA,8693089,E-Line Union Station,0, 101 35,793350
101E,SA,8693092,E-Line Union Station,0, 101 34,793350
101E,SA,8693095,E-Line Union Station,0, 101 33,793350
101E,SA,8693096,E-Line Union Station,0, 101 36,793350
101E,SA,8693099,E-Line Union Station,0, 101 31,793350
101E,SA,8693102,E-Line Union Station,0, 101 35,793350
101E,SA,8693105,E-Line Union Station,0, 101 33,793350
101E,SA,8693108,E-Line Union Station,0, 101 32,793350
101E,SA,8693112,E-Line Union Station,0, 101 31,793350
101E,SA,8693115,E-Line Union Station,0, 101 35,793350
101E,SA,8693118,E-Line Union Station,0, 101 34,793350
101E,SA,8693121,E-Line Union Station,0, 101 33,793350
101E,SA,8693124,E-Line Union Station,0, 101 36,793350
101E,SA,8693127,E-Line Union Station,0, 101 31,793350
101E,SA,8693130,E-Line Union Station,0, 101 35,793350
101E,SA,8693133,E-Line Union Station,0, 101 34,793350
101E,SA,8693136,E-Line Union Station,0, 101 33,793350
101E,SA,8693139,E-Line Union Station,0, 101 36,793350
101E,SA,8693142,E-Line Union Station,0, 101 32,793350
101E,SA,8693146,E-Line Union Station,0, 101 37,793350
101E,SA,8693149,E-Line Union Station,0, 101 37,793350
101E,SA,8693152,E-Line Union Station,0, 101 32,793350
101E,SA,8693153,E-Line Union Station,0, 101 36,793350
101E,SA,8693154,E-Line Union Station,0, 101 34,793350
101E,SA,8693157,E-Line Union Station,0, 101 33,793350
101E,SA,8693169,E-Line Union Station,0, 101 31,793350
101E,SA,8693170,E-Line Union Station,0, 101 34,793350
101E,SA,8693185,E-Line Union Station,0, 101 35,793350
101E,SA,8693188,E-Line Union Station,0, 101 34,793350
101E,SA,8693191,E-Line Union Station,0, 101 33,793350
101E,SA,8693192,E-Line Union Station,0, 101 31,793350
101E,SA,8693195,E-Line Union Station,0, 101 33,793350
101E,SA,8693200,E-Line Union Station,0, 101 32,793350
101E,SA,8693203,E-Line Union Station,0, 101 37,793350
101E,SA,8693204,E-Line Union Station,0, 101 31,793350
101E,SA,8693211,E-Line Union Station,0, 101 36,793350
101E,SA,8693214,E-Line Union Station,0, 101 32,793350
101E,SA,8693217,E-Line Union Station,0, 101 37,793350
101E,SA,8693223,E-Line Union Station,0, 101 35,793350
101E,SA,8693225,E-Line Union Station,0, 101 34,793350
101E,SA,8693228,E-Line Union Station,0, 101 33,793350
101E,SA,8693231,E-Line Union Station,0, 101 36,793350
101E,SA,8693234,E-Line Union Station,0, 101 32,793350
101E,SA,8693237,E-Line Union Station,0, 101 36,793350
101E,SA,8693245,E-Line Union Station,0, 101 32,793350
101E,SA,8693246,E-Line Union Station,0, 101 31,793350
101E,SA,8693249,E-Line Union Station,0, 101 35,793350
101E,SA,8693252,E-Line Union Station,0, 101 33,793350
101E,SA,8693254,E-Line Union Station,0, 101 33,793350
101E,SA,8693265,E-Line Union Station,0, 101 32,793350
101E,SA,8693268,E-Line Union Station,0, 101 37,793350
101E,SA,8693271,E-Line Union Station,0, 101 31,793350
101E,SA,8693274,E-Line Union Station,0, 101 35,793350
101E,SA,8693278,E-Line Union Station,0, 101 31,793350
101E,SA,8693281,E-Line Union Station,0, 101 34,793350
101E,SA,8693290,E-Line Union Station,0, 101 32,793350
101E,SA,8693291,E-Line Lincoln,1, 101 37,793379
101E,SA,8693295,E-Line Lincoln,1, 101 37,793379
101E,SA,8693304,E-Line Lincoln,1, 101 31,793379
